0;Afghanistan ;0.0
4;Andorra ;0.0
9;Armenia ;0.0
12;Austria ;0.0
13;Azerbaijan ;0.0
18;Belarus ;0.0
23;Bhutan ;0.0
24;Bolivia ;0.0
26;Botswana ;0.0
31;Burkina Faso ;0.0
33;Burundi ;0.0
39;Central African Rep. ;0.0
40;Chad ;0.0
45;Congo, Dem. Rep. ;0.0
53;Czech Republic ;0.0
65;Ethiopia ;0.0
92;Hungary ;0.0
106;Kazakhstan ;0.0
112;Kyrgyzstan ;0.0
113;Laos ;0.0
116;Lesotho ;0.0
119;Liechtenstein ;0.0
121;Luxembourg ;0.0
123;Macedonia ;0.0
125;Malawi ;0.0
128;Mali ;0.0
137;Moldova ;0.0
139;Mongolia ;0.0
145;Nepal ;0.0
151;Niger ;0.0
160;Paraguay ;0.0
170;Rwanda ;0.0
177;San Marino ;0.0
181;Serbia ;0.0
185;Slovakia ;0.0
194;Swaziland ;0.0
196;Switzerland ;0.0
199;Tajikistan ;0.0
207;Turkmenistan ;0.0
210;Uganda ;0.0
216;Uzbekistan ;0.0
222;West Bank ;0.0
225;Zambia ;0.0
226;Zimbabwe ;0.0
